     15750 CLK=1 RST=0 OUT= 4 8
     15800 CLK=0 RST=0 OUT= 4 8
     15850 CLK=1 RST=0 OUT= 4 8
     15900 CLK=0 RST=0 OUT= 4 8
     15950 CLK=1 RST=0 OUT= 4 8
     16000 CLK=0 RST=0 OUT= 4 8
     16050 CLK=1 RST=0 OUT= 4 7
     16100 CLK=0 RST=0 OUT= 4 7
     16150 CLK=1 RST=0 OUT= 4 7
     16200 CLK=0 RST=0 OUT= 4 7
     16250 CLK=1 RST=0 OUT= 4 7
     16300 CLK=0 RST=0 OUT= 4 7
     16350 CLK=1 RST=0 OUT= 4 6
     16400 CLK=0 RST=0 OUT= 4 6
     16450 CLK=1 RST=0 OUT= 4 6
     16500 CLK=0 RST=0 OUT= 4 6
     16550 CLK=1 RST=0 OUT= 4 6
     16600 CLK=0 RST=0 OUT= 4 6
     16650 CLK=1 RST=0 OUT= 4 5
     16700 CLK=0 RST=0 OUT= 4 5
     16750 CLK=1 RST=0 OUT= 4 5
     16800 CLK=0 RST=0 OUT= 4 5
     16850 CLK=1 RST=0 OUT= 4 5
     16900 CLK=0 RST=0 OUT= 4 5
     16950 CLK=1 RST=0 OUT= 4 4
     17000 CLK=0 RST=0 OUT= 4 4
     17050 CLK=1 RST=0 OUT= 4 4
     17100 CLK=0 RST=0 OUT= 4 4
     17150 CLK=1 RST=0 OUT= 4 4
     17200 CLK=0 RST=0 OUT= 4 4
     17250 CLK=1 RST=0 OUT= 4 3
     17300 CLK=0 RST=0 OUT= 4 3
     17350 CLK=1 RST=0 OUT= 4 3
     17400 CLK=0 RST=0 OUT= 4 3
     17450 CLK=1 RST=0 OUT= 4 3
     17500 CLK=0 RST=0 OUT= 4 3
     17550 CLK=1 RST=0 OUT= 4 2
     17600 CLK=0 RST=0 OUT= 4 2
     17650 CLK=1 RST=0 OUT= 4 2
     17700 CLK=0 RST=0 OUT= 4 2
     17750 CLK=1 RST=0 OUT= 4 2
     17800 CLK=0 RST=0 OUT= 4 2
     17850 CLK=1 RST=0 OUT= 4 1
     17900 CLK=0 RST=0 OUT= 4 1
     17950 CLK=1 RST=0 OUT= 4 1
     18000 CLK=0 RST=0 OUT= 4 1
     18050 CLK=1 RST=0 OUT= 4 1
     18100 CLK=0 RST=0 OUT= 4 1
     18150 CLK=1 RST=0 OUT= 4 0
     18200 CLK=0 RST=0 OUT= 4 0
     18250 CLK=1 RST=0 OUT= 4 0
     18300 CLK=0 RST=0 OUT= 4 0
     18350 CLK=1 RST=0 OUT= 4 0
     18400 CLK=0 RST=0 OUT= 4 0
     18450 CLK=1 RST=0 OUT= 3 9
     18500 CLK=0 RST=0 OUT= 3 9
     18550 CLK=1 RST=0 OUT= 3 9
     18600 CLK=0 RST=0 OUT= 3 9
     18650 CLK=1 RST=0 OUT= 3 9
     18700 CLK=0 RST=0 OUT= 3 9
     18750 CLK=1 RST=0 OUT= 3 8
     18800 CLK=0 RST=0 OUT= 3 8
     18850 CLK=1 RST=0 OUT= 3 8
     18900 CLK=0 RST=0 OUT= 3 8
     18950 CLK=1 RST=0 OUT= 3 8
     19000 CLK=0 RST=0 OUT= 3 8
     19050 CLK=1 RST=0 OUT= 3 7
     19100 CLK=0 RST=0 OUT= 3 7
     19150 CLK=1 RST=0 OUT= 3 7
     19200 CLK=0 RST=0 OUT= 3 7
     19250 CLK=1 RST=0 OUT= 3 7
     19300 CLK=0 RST=0 OUT= 3 7
     19350 CLK=1 RST=0 OUT= 3 6
     19400 CLK=0 RST=0 OUT= 3 6
     19450 CLK=1 RST=0 OUT= 3 6
     19500 CLK=0 RST=0 OUT= 3 6
     19550 CLK=1 RST=0 OUT= 3 6
     19600 CLK=0 RST=0 OUT= 3 6
     19650 CLK=1 RST=0 OUT= 3 5
     19700 CLK=0 RST=0 OUT= 3 5
     19750 CLK=1 RST=0 OUT= 3 5
     19800 CLK=0 RST=0 OUT= 3 5
     19850 CLK=1 RST=0 OUT= 3 5
     19900 CLK=0 RST=0 OUT= 3 5
     19950 CLK=1 RST=0 OUT= 3 4
     20000 CLK=0 RST=0 OUT= 3 4
     20050 CLK=1 RST=0 OUT= 3 4
     20100 CLK=0 RST=0 OUT= 3 4
     20150 CLK=1 RST=0 OUT= 3 4
     20200 CLK=0 RST=0 OUT= 3 4
     20250 CLK=1 RST=0 OUT= 3 3
     20300 CLK=0 RST=0 OUT= 3 3
     20350 CLK=1 RST=0 OUT= 3 3
     20400 CLK=0 RST=0 OUT= 3 3
     20450 CLK=1 RST=0 OUT= 3 3
     20500 CLK=0 RST=0 OUT= 3 3
     20550 CLK=1 RST=0 OUT= 3 2
     20600 CLK=0 RST=0 OUT= 3 2
     20650 CLK=1 RST=0 OUT= 3 2
     20700 CLK=0 RST=0 OUT= 3 2
     20750 CLK=1 RST=0 OUT= 3 2
     20800 CLK=0 RST=0 OUT= 3 2
     20850 CLK=1 RST=0 OUT= 3 1
     20900 CLK=0 RST=0 OUT= 3 1
     20950 CLK=1 RST=0 OUT= 3 1
     21000 CLK=0 RST=0 OUT= 3 1
     21050 CLK=1 RST=0 OUT= 3 1
     21100 CLK=0 RST=0 OUT= 3 1
     21150 CLK=1 RST=0 OUT= 3 0
     21200 CLK=0 RST=0 OUT= 3 0
     21250 CLK=1 RST=0 OUT= 3 0
     21300 CLK=0 RST=0 OUT= 3 0
     21350 CLK=1 RST=0 OUT= 3 0
     21400 CLK=0 RST=0 OUT= 3 0
     21450 CLK=1 RST=0 OUT= 2 9
     21500 CLK=0 RST=0 OUT= 2 9
     21550 CLK=1 RST=0 OUT= 2 9
     21600 CLK=0 RST=0 OUT= 2 9
     21650 CLK=1 RST=0 OUT= 2 9
     21700 CLK=0 RST=0 OUT= 2 9
     21750 CLK=1 RST=0 OUT= 2 8
     21800 CLK=0 RST=0 OUT= 2 8
     21850 CLK=1 RST=0 OUT= 2 8
     21900 CLK=0 RST=0 OUT= 2 8
     21950 CLK=1 RST=0 OUT= 2 8
     22000 CLK=0 RST=0 OUT= 2 8
